City,Observer,Species,Group,Obs Date,LOC_FINAL,LOC_ORIG,Habitat_broad,Habitat_spec,Photo,Dead,Notes,LOCATION_CHANGES
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/9/2020,Carpenter's Woods,Carpenter's Woods,Terrestrial,Wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/4/2020,Carpenter's Woods,Carpenter's Woods,Terrestrial,Wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/2/2020,Carpenter's Woods,Carpenter's Woods,Terrestrial,Wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/2/2020,Carpenter's Woods,Carpenter's Woods,Terrestrial,Wooded,yes,yes,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/7/2019,Carpenter's Woods,Carpenter's Woods,Terrestrial,Wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Common Garter Snake,Snake,9/16/2018,Carpenter's Woods,Carpenter's Woods,Terrestrial,Wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/2/2010,Carpenter's Woods,Carpenter's Woods,Terrestrial,Wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,3/26/2020,Clifford Park,Clifford Park,terrestrial,wooded,yes,no,,ACROSS ST FROM BLUE BELL/WISSAHICKON
Philadelphia,BDW,American Toad,Frog,8/17/2019,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,child's discovery place,
Philadelphia,BDW,American Toad,Frog,8/17/2019,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Toad,Frog,8/17/2019,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Toad,Frog,8/6/2018,Cobbs Creek Park,Cobbs Creek Park,terrestrial,edge,yes,no,in houston playground,
Philadelphia,BDW,Green Frog,Frog,8/30/2019,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,10/23/2019,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,multiple in picture,
Philadelphia,NS/BDW,Common Garter Snake,Snake,8/30/2019,Cobbs Creek Park,Cobbs Creek Park,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/18/2019,Cobbs Creek Park,Cobbs Creek Park,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,8/6/2018,Cobbs Creek Park,Cobbs Creek Park,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,4/27/2019,COBBS CREEK PARK,Mount Moriah Cemetery,terrestrial,field,yes,no, ,CONNECTS TO COBBS CREEK PARK
Philadelphia,BDW,Dekay's Brownsnake,Snake,4/27/2019,COBBS CREEK PARK,Mount Moriah Cemetery,terrestrial,field,yes,no, ,CONNECTS TO COBBS CREEK PARK
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,10/4/2017,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,highschool / little vegetation,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,6/19/2016,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,tacony park,
Philadelphia,BDW,Dekay's Brownsnake,Snake,10/4/2017,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,yes,clark park,
Philadelphia,BDW,Dekay's Brownsnake,Snake,6/19/2016,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Northern Watersnake,Snake,9/26/2017,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,golf course,
Philadelphia,BDW,Northern Watersnake,Snake,9/26/2017,Cobbs Creek Park,Cobbs Creek Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Common Snapping Turtle,Turtle,9/16/2019,Cobbs Creek Park,Cobbs Creek Park,Aquatic,Creek,yes,no,,
Philadelphia,BDW,Common Snapping Turtle,Turtle,9/16/2019,Cobbs Creek Park,Cobbs Creek Park,aquatic,creek,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,4/25/2020,Fairmount Park,Fairmount Park,aquatic,lake,yes,no,Along Wissahickon Creek,
Philadelphia,BDW,American Bullfrog,Frog,4/27/2019,Fairmount Park,Fairmount Park,aquatic,pond,yes,no,can see delaware river in pic though,
Philadelphia,BDW,American Bullfrog,Frog,6/24/2018,Fairmount Park,Fairmount Park,aquatic,lake,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,6/24/2018,Fairmount Park,Fairmount Park,aquatic,lake,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,6/24/2018,Fairmount Park,Fairmount Park,aquatic,lake,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,6/23/2016,Fairmount Park,Fairmount Park,aquatic,pond,yes,no,,
Philadelphia,BDW,Green Frog,Frog,9/30/2018,Fairmount Park,Fairmount Park,terrestrial,field,yes,no,Pic is frog in container of water…,
Philadelphia,BDW,Green Frog,Frog,9/29/2018,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,by water tower recreation center,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,4/27/2020,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,4/24/2020,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,multiple in picture,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,4/15/2020,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,On Yellow Trail,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,4/12/2020,Fairmount Park,Fairmount Park,terrestrial,edge,yes,no,Along Wind Dance Pond Trail,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,3/30/2020,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,there are woods across the street,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,3/18/2020,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,On edge of Carpenter's Woods,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,3/18/2020,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,I think you're missing one,
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,3/13/2020,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/21/2020,FAIRMOUNT PARK,Sedgley Woods,Terrestrial,Wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,4/19/2020,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,9/18/2019,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,8/9/2019,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,6/23/2018,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,BDW,Dekay's Brownsnake,Snake,4/19/2020,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,BDW,Dekay's Brownsnake,Snake,8/9/2019,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,BDW,Dekay's Brownsnake,Snake,9/18/2019,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,BDW,Dekay's Brownsnake,Snake,6/23/2018,FAIRMOUNT PARK,East Fairmount Park,terrestrial,wooded,yes,no,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,4/26/2019,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Dekay's Brownsnake,Snake,4/26/2019,Fairmount Park,Fairmount Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Common Snapping Turtle,Turtle,4/29/2017,FAIRMOUNT PARK,Fairmount Fish Ladder,Terrestrial,Road,yes,no,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Common Snapping Turtle,Turtle,4/15/2020,FAIRMOUNT PARK,Paine's Park,Terrestrial,Urban,yes,no,,FAIRMOUNT PARK
Philadelphia,BDW,Common Snapping Turtle,Turtle,4/15/2020,FAIRMOUNT PARK,Paine's Park,terrestrial,field,yes,no,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/25/2020,FAIRMOUNT PARK,Centennial Lake,Aquatic,Lake,yes,no,,FAIRMOUNT PARK
Philadelphia,NS,Painted Turtle,Turtle,4/25/2020,FAIRMOUNT PARK,Centennial Lake,Aquatic,Lake,yes,no,like 8 of them,IN FAIRMOUNT PARK
Philadelphia,BDW,Spiny Softshell Turtle,Turtle,5/30/2019,FAIRMOUNT PARK,Fairmount Water Works Trail and Boardwalk,aquatic,river,yes,,,FAIRMOUNT PARK
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/25/2020,Fairmount Park ,Fairmount Park ,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/25/2020,Fairmount Park ,Fairmount Park ,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/1/2016,Fairmount Park ,Fairmount Park ,Terrestrial,Wooded,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,3/20/2020,FDR Park,FDR Park,aquatic,lake,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,5/22/2019,FDR Park,FDR Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/25/2020,FDR Park,FDR Park,Terrestrial,Field,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/20/2020,FDR Park,FDR Park,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/6/2019,FDR Park,FDR Park,Terrestrial,Field,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/30/2019,FDR Park,FDR Park,Terrestrial,Field,yes,no,,
Philadelphia,NS/BDW,Eastern Ratsnake,Snake,9/20/2019,FDR Park,FDR Park,terrestrial,field,yes,no,,
Philadelphia,BDW,Eastern Ratsnake,Snake,9/20/2019,FDR Park,FDR Park,terrestrial,field,yes,no,,
Philadelphia,NS/BDW,Painted Turtle,Turtle,3/22/2019,FDR Park,FDR Park,Terrestrial,Wooded,yes,no,,
Philadelphia,NS,Painted Turtle,Turtle,3/22/2019,FDR Park,FDR Park,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,10/9/2019,Fernhill Park,Fernhill Park,terrestrial,wooded,yes,no,clark park,
Philadelphia,BDW,Dekay's Brownsnake,Snake,10/9/2019,Fernhill Park,Fernhill Park,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/13/2019,Fort Mifflin,Fort Mifflin,Terrestrial,Field,yes,no,,
Philadelphia,NS/BDW,Common Musk Turtle,Turtle,4/13/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS/BDW,Common Musk Turtle,Turtle,4/28/2019,Fort Mifflin,Fort Mifflin,Aquatic,Pond,yes,no,,
Philadelphia,BDW,Common Musk Turtle,Turtle,4/28/2019,Fort Mifflin,Fort Mifflin,terrestrial,field,yes,no,road,
Philadelphia,BDW,Common Musk Turtle,Turtle,4/13/2019,Fort Mifflin,Fort Mifflin,aquatic,pond,yes,no,,
Philadelphia,NS/BDW,Common Snapping Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Terrestrial,Field,yes,no,,FORT MIFFLIN
Philadelphia,NS/BDW,Common Snapping Turtle,Turtle,9/9/2018,Fort Mifflin,Fort Mifflin,Aquatic,Pond,yes,no,,
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Terrestrial,Wooded,yes,no,found on rocks,FORT MIFFLIN
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/28/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Terrestrial,Wooded,yes,no,,FORT MIFFLIN
Philadelphia,NS,Painted Turtle,Turtle,4/29/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS,Painted Turtle,Turtle,4/28/2019,FORT MIFFLIN,Fort Mifflin Road,Aquatic,Pond,yes,no,,FORT MIFFLIN
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/28/2019,Fort Mifflin,Fort Mifflin,Aquatic,Pond,yes,no,,
Philadelphia,NS/BDW,Painted Turtle,Turtle,4/13/2019,Fort Mifflin,Fort Mifflin,Aquatic,Pond,yes,no,,
Philadelphia,NS,Painted Turtle,Turtle,4/28/2019,Fort Mifflin,Fort Mifflin,Aquatic,Pond,yes,no,,
Philadelphia,NS,Painted Turtle,Turtle,4/13/2019,Fort Mifflin,Fort Mifflin,Aquatic,Pond,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,6/12/2019,GERMANY HILL PARK,Hillside Recreation Center,Terrestrial,Wooded,yes,no,,CONNECTS TO GERMANY HILL PARK
Philadelphia,BDW,American Bullfrog,Frog,5/5/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,no,you said wissahickon valley park,
Philadelphia,BDW,American Bullfrog,Frog,5/5/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,,,
Philadelphia,BDW,American Bullfrog,Frog,4/25/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,8/31/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,creek,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,5/11/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,6/11/2018,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,7/25/2017,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Bullfrog,Frog,5/29/2016,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,on a bank of mud,
Philadelphia,BDW,American Bullfrog,Frog,5/9/2012,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,no,,
Philadelphia,BDW,American Toad,Frog,10/23/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,maybe forest? Hard to tell,
Philadelphia,BDW,American Toad,Frog,8/20/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Toad,Frog,5/17/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Toad,Frog,5/17/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Toad,Frog,4/20/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,no,,
Philadelphia,BDW,American Toad,Frog,4/12/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,pic looks like on the bank ofcreek,
Philadelphia,BDW,American Toad,Frog,7/31/2018,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Atlantic Coast Leopard Frog,Frog,9/13/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,edge,yes,no,multiple in picture,
Philadelphia,BDW,Atlantic Coast Leopard Frog,Frog,3/24/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,creek,yes,,,
Philadelphia,BDW,Atlantic Coast Leopard Frog,Frog,3/24/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,creek,yes,no,,
Philadelphia,BDW,Atlantic Coast Leopard Frog,Frog,10/13/2017,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,you said darby creek,
Philadelphia,BDW,Green Frog,Frog,9/17/2017,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Green Frog,Frog,5/28/2016,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Green Frog,Frog,4/19/2015,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,aquatic,pond,yes,no,,
Philadelphia,BDW,Green Frog,Frog,4/19/2015,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Spring Peeper,Frog,4/22/2018,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Spring Peeper,Frog,3/29/2018,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,terrestrial,wooded,yes,,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/25/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Aquatic,Pond,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/25/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/20/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/20/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/20/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/20/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/20/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/14/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/5/2020,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,10/4/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,9/20/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,8/20/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,6/8/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,eating a frog,
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/7/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/29/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/27/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/10/2019,John Heinz National Wildlife Refuge,John Heinz National Wildlife Refuge,Terrestrial,Wooded,yes,yes,,
